Ano_Semana,Casos,I
1/2021,203,203
2/2021,181,384
3/2021,140,524
4/2021,254,778
5/2021,111,889
6/2021,73,962
7/2021,88,1050
8/2021,74,1124
9/2021,78,1202
10/2021,126,1328
11/2021,147,1475
12/2021,203,1678
13/2021,263,1941
14/2021,251,2192
15/2021,248,2440
16/2021,247,2687
17/2021,281,2968
18/2021,231,3199
19/2021,291,3490
20/2021,321,3811
21/2021,413,4224
22/2021,304,4528
23/2021,338,4866
24/2021,284,5150
25/2021,339,5489
26/2021,232,5721
27/2021,185,5906
28/2021,131,6037
29/2021,103,6140
30/2021,123,6263
31/2021,95,6358
32/2021,96,6454
33/2021,111,6565
34/2021,188,6753
35/2021,140,6893
36/2021,96,6989
37/2021,90,7079
38/2021,122,7201
39/2021,94,7295
40/2021,99,7394
41/2021,96,7490
42/2021,122,7612
43/2021,133,7745
44/2021,91,7836
45/2021,85,7921
46/2021,63,7984
47/2021,87,8071
48/2021,64,8135
49/2021,46,8181
50/2021,19,8200
51/2021,42,8242
52/2021,43,8285
53/2021,39,8324
